model,task,evaluation_time,accuracy,f1_score,precision,recall
BERT,A1,392.9072208404541,0.21921052631578947,0.14744866622275746,0.14631384203092446,0.21921052631578947
DistilBERT,A2,198.18827438354492,0.15513157894736843,0.14125627559819448,0.14681375690806198,0.15513157894736843
RoBERTa,A3,378.7517921924591,0.25,0.1,0.0625,0.25
BERT,B1_v1,388.5997998714447,0.93,0.9299012730472026,0.9314687044931327,0.9299999999999999
BERT,B1_v2,377.95951104164124,0.9394736842105263,0.9392310585281476,0.9399917532073956,0.9394736842105262
DistilBERT,B2_v1,199.67881560325623,0.9360526315789474,0.9358281819493368,0.9366291846214527,0.9360526315789474
DistilBERT,B2_v2,198.61165165901184,0.9396052631578947,0.9397913556935328,0.9409751645812247,0.9396052631578947
RoBERTa,B3_v1,380.7418096065521,0.7888157894736842,0.7877405649394515,0.8505008297410839,0.7888157894736841
RoBERTa,B3_v2,388.95501708984375,0.9384210526315789,0.9380770449131897,0.9401833657003276,0.9384210526315789
BERT,C1_v1,398.24059534072876,0.9319736842105263,0.9319078186780517,0.9318575661484929,0.9319736842105264
BERT,C1_v2,395.81589579582214,0.916578947368421,0.9165430762574553,0.9171124392059392,0.916578947368421
DistilBERT,C2_v1,206.5145754814148,0.9351315789473684,0.9350679974734342,0.9353896989341871,0.9351315789473684
DistilBERT,C2_v2,206.46085953712463,0.9246052631578947,0.9244992940899512,0.924708852588509,0.9246052631578947
RoBERTa,C3_v1,402.5090968608856,0.9403947368421053,0.9403139508569587,0.9403991870167483,0.9403947368421054
RoBERTa,C3_v2,401.4905068874359,0.9276315789473685,0.9274638813769702,0.9277613206170666,0.9276315789473684
BERT,D1_v1,396.22978496551514,0.9332894736842106,0.9332506650002115,0.9337105389514189,0.9332894736842104
BERT,D1_v2,396.654513835907,0.9146052631578947,0.9144247613721155,0.9145557511170395,0.9146052631578947
DistilBERT,D2_v1,206.44727993011475,0.935921052631579,0.9358307045157781,0.9360078109630102,0.935921052631579
DistilBERT,D2_v2,207.13996529579163,0.9192105263157895,0.9190519386386998,0.9192800499371647,0.9192105263157895
RoBERTa,D3_v1,402.26634407043457,0.940921052631579,0.9408517963084128,0.9411463134830145,0.940921052631579
RoBERTa,D3_v2,402.97627997398376,0.9268421052631579,0.9267532788191286,0.9269730241717545,0.9268421052631579
BERT,E1_v1,396.2963032722473,0.9386842105263158,0.9386491479393446,0.9390220499185802,0.9386842105263158
BERT,E1_v2,397.40611577033997,0.9246052631578947,0.9245235781050589,0.9245918517722981,0.9246052631578947
DistilBERT,E2_v1,206.61162543296814,0.934078947368421,0.9341040445040469,0.9343630648911775,0.9340789473684211
DistilBERT,E2_v2,206.79929661750793,0.9293421052631579,0.9292341008824917,0.9293543974493547,0.9293421052631579
RoBERTa,E3_v1,402.65984535217285,0.9414473684210526,0.9414000324810625,0.9415550173462026,0.9414473684210527
RoBERTa,E3_v2,403.2150299549103,0.9297368421052632,0.9296330269181743,0.9299216256276767,0.9297368421052632
