Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
B1_v1,BERT,train,1,0.94987,0.949883885658555,0.9511558532721722,0.94987,0.2253540754318237,12500,266.4437,375.314,46.914
B1_v1,BERT,eval,1,0.9317,0.9315968039208716,0.9330695933545372,0.9317,0.3151209652423858,12500,52.1743,383.331,47.916
B1_v1,BERT,train,2,0.96554,0.9655635495289268,0.9659217112927818,0.96554,0.1650215983390808,25000,265.7163,376.341,47.043
B1_v1,BERT,eval,2,0.9387,0.9387197892032114,0.9392335945495836,0.9387,0.3169054090976715,25000,52.2289,382.93,47.866
B1_v1,BERT,train,3,0.97642,0.9764165742054352,0.9765466013093304,0.97642,0.1207057684659957,37500,267.7097,373.539,46.692
B1_v1,BERT,eval,3,0.9394,0.9393167848951488,0.9394685910373624,0.9394,0.3296785056591034,37500,52.1639,383.407,47.926
B1_v1,BERT,train,4,0.98395,0.9839522880010332,0.984055212595126,0.98395,0.0814061611890792,50000,266.8508,374.741,46.843
B1_v1,BERT,eval,4,0.93965,0.9395872820600808,0.939833355121215,0.93965,0.3355948626995086,50000,52.22,382.995,47.874
B1_v1,BERT,train,5,0.98886,0.9888602060310452,0.9888965365146934,0.98886,0.0601488836109638,62500,268.3852,372.599,46.575
B1_v1,BERT,eval,5,0.9393,0.9392625985610076,0.939280249987418,0.9393,0.3641144931316376,62500,52.7345,379.258,47.407
B1_v2,BERT,eval,5,0.94375,0.9437160433298566,0.9437436324477356,0.94375,0.3666040599346161,62500,52.8151,378.68,47.335
B1_v2,BERT,train,5,0.99447,0.9944711213171517,0.9944759983395148,0.99447,0.0231983102858066,62500,268.0886,373.011,46.626
B1_v2,BERT,train,4,0.99164,0.9916444970755462,0.9916592006710356,0.99164,0.0339819937944412,50000,268.7603,372.079,46.51
B1_v2,BERT,eval,3,0.9445,0.9444106887964664,0.9443427913135204,0.9445,0.2782458066940307,37500,52.6509,379.861,47.483
B1_v2,BERT,eval,4,0.94395,0.9439923076895914,0.944068755781314,0.94395,0.3174052536487579,50000,53.1119,376.563,47.07
B1_v2,BERT,eval,2,0.94655,0.946609673842292,0.947358303334899,0.94655,0.2487867623567581,25000,52.4542,381.285,47.661
B1_v2,BERT,train,2,0.97393,0.9739581970310798,0.9743563095686704,0.97393,0.1077191978693008,25000,267.4307,373.929,46.741
B1_v2,BERT,eval,1,0.9407,0.940515951223522,0.9412486466411032,0.9407,0.2328635454177856,12500,52.3956,381.712,47.714
B1_v2,BERT,train,1,0.95641,0.9562920363153448,0.9569540310831488,0.95641,0.1636810153722763,12500,269.0019,371.745,46.468
B1_v2,BERT,train,3,0.9843,0.9843038329636662,0.9843161041718944,0.9843,0.062501884996891,37500,268.7747,372.059,46.507
B2_v1,DistilBERT,eval,5,0.93865,0.938588616684412,0.9385632461008324,0.93865,0.4048720598220825,62500,28.2618,707.668,88.459
B2_v1,DistilBERT,train,5,0.99563,0.9956303537227822,0.995633673424682,0.99563,0.0207679402083158,62500,143.8939,694.957,86.87
B2_v1,DistilBERT,eval,4,0.9397,0.9396587757789764,0.9398021412128824,0.9397,0.3533277809619903,50000,28.0875,712.062,89.008
