Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
B1_v1,BERT,train,1,0.94987,0.949883885658555,0.9511558532721722,0.94987,0.22535407543182373,12500,266.4437,375.314,46.914
B1_v1,BERT,eval,1,0.9317,0.9315968039208715,0.9330695933545373,0.9317,0.31512096524238586,12500,52.1743,383.331,47.916
B1_v1,BERT,train,2,0.96554,0.9655635495289269,0.9659217112927818,0.96554,0.1650215983390808,25000,265.7163,376.341,47.043
B1_v1,BERT,eval,2,0.9387,0.9387197892032114,0.9392335945495836,0.9387000000000001,0.3169054090976715,25000,52.2289,382.93,47.866
B1_v1,BERT,train,3,0.97642,0.9764165742054352,0.9765466013093305,0.97642,0.12070576846599579,37500,267.7097,373.539,46.692
B1_v1,BERT,eval,3,0.9394,0.9393167848951489,0.9394685910373624,0.9394,0.3296785056591034,37500,52.1639,383.407,47.926
B1_v1,BERT,train,4,0.98395,0.9839522880010332,0.9840552125951261,0.98395,0.08140616118907928,50000,266.8508,374.741,46.843
B1_v1,BERT,eval,4,0.93965,0.9395872820600807,0.939833355121215,0.9396500000000001,0.33559486269950867,50000,52.22,382.995,47.874
B1_v1,BERT,train,5,0.98886,0.9888602060310452,0.9888965365146934,0.9888600000000001,0.06014888361096382,62500,268.3852,372.599,46.575
B1_v1,BERT,eval,5,0.9393,0.9392625985610075,0.9392802499874179,0.9392999999999999,0.3641144931316376,62500,52.7345,379.258,47.407
