Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
B1_v2,BERT,train,1,0.95641,0.9562920363153447,0.9569540310831488,0.95641,0.1636810153722763,12500,269.0019,371.745,46.468
B1_v2,BERT,eval,1,0.9407,0.940515951223522,0.9412486466411033,0.9407000000000001,0.23286354541778564,12500,52.3956,381.712,47.714
B1_v2,BERT,train,2,0.97393,0.9739581970310798,0.9743563095686704,0.97393,0.10771919786930084,25000,267.4307,373.929,46.741
B1_v2,BERT,eval,2,0.94655,0.9466096738422919,0.947358303334899,0.94655,0.24878676235675812,25000,52.4542,381.285,47.661
B1_v2,BERT,train,3,0.9843,0.9843038329636662,0.9843161041718944,0.9843000000000001,0.06250188499689102,37500,268.7747,372.059,46.507
B1_v2,BERT,eval,3,0.9445,0.9444106887964663,0.9443427913135204,0.9444999999999999,0.27824580669403076,37500,52.6509,379.861,47.483
B1_v2,BERT,train,4,0.99164,0.9916444970755462,0.9916592006710357,0.99164,0.03398199379444122,50000,268.7603,372.079,46.51
B1_v2,BERT,eval,4,0.94395,0.9439923076895914,0.9440687557813139,0.94395,0.31740525364875793,50000,53.1119,376.563,47.07
B1_v2,BERT,train,5,0.99447,0.9944711213171515,0.9944759983395147,0.9944700000000001,0.023198310285806656,62500,268.0886,373.011,46.626
B1_v2,BERT,eval,5,0.94375,0.9437160433298566,0.9437436324477357,0.94375,0.3666040599346161,62500,52.8151,378.68,47.335
