Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
B2_v2,DistilBERT,train,1,0.95066,0.9504646040779391,0.9517599764179998,0.95066,0.1815667599439621,12500,143.5361,696.689,87.086
B2_v2,DistilBERT,eval,1,0.9366,0.9362604289045913,0.9377137445312117,0.9366,0.24133877456188202,12500,28.2175,708.781,88.598
B2_v2,DistilBERT,train,2,0.9686,0.9686626938268046,0.9692405097376147,0.9686,0.12136898189783096,25000,142.8803,699.886,87.486
B2_v2,DistilBERT,eval,2,0.9431,0.9432421310948523,0.9441022466220237,0.9431,0.23994487524032593,25000,28.2719,707.417,88.427
B2_v2,DistilBERT,train,3,0.98122,0.9812210021350524,0.9812684765611104,0.98122,0.07864183932542801,37500,142.7489,700.531,87.566
B2_v2,DistilBERT,eval,3,0.9444,0.9443222777754916,0.944280530709116,0.9444,0.2683364450931549,37500,28.2574,707.779,88.472
B2_v2,DistilBERT,train,4,0.98787,0.9878741646523164,0.9879196680131286,0.98787,0.051822394132614136,50000,142.9738,699.429,87.429
B2_v2,DistilBERT,eval,4,0.94265,0.9426490555915017,0.9427121403454585,0.94265,0.30600666999816895,50000,28.213,708.892,88.612
B2_v2,DistilBERT,train,5,0.99043,0.990432339628054,0.9904601781052473,0.99043,0.043632231652736664,62500,143.9381,694.743,86.843
B2_v2,DistilBERT,eval,5,0.9425,0.9425300534744556,0.9426254900530525,0.9425,0.33658987283706665,62500,28.1177,711.296,88.912
