Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
B3_v2,RoBERTa,train,1,0.9512,0.9509946864752192,0.9525425069481313,0.9512,0.19740377366542816,12500,261.1138,382.975,47.872
B3_v2,RoBERTa,eval,1,0.9422,0.941943455311937,0.9434802339516707,0.9422000000000001,0.25130072236061096,12500,51.1278,391.177,48.897
B3_v2,RoBERTa,train,2,0.96722,0.9672557057203985,0.9677756238362086,0.96722,0.14343512058258057,25000,261.2829,382.727,47.841
B3_v2,RoBERTa,eval,2,0.94655,0.9465625879076546,0.9472481946000877,0.94655,0.2572639286518097,25000,51.4343,388.845,48.606
B3_v2,RoBERTa,train,3,0.97819,0.9781781293752699,0.9781918819143463,0.9781899999999999,0.10053462535142899,37500,261.6678,382.164,47.77
B3_v2,RoBERTa,eval,3,0.9475,0.9474098987190581,0.9473930792912046,0.9475,0.28642502427101135,37500,51.4321,388.862,48.608
B3_v2,RoBERTa,train,4,0.98593,0.9859376920374204,0.9859671428043867,0.98593,0.06422311812639236,50000,261.4217,382.524,47.815
B3_v2,RoBERTa,eval,4,0.9486,0.9486120330048802,0.9486786088603328,0.9486,0.3013935387134552,50000,51.1974,390.645,48.831
B3_v2,RoBERTa,train,5,0.98944,0.9894427355413085,0.9894519420625928,0.9894399999999999,0.04951505362987518,62500,260.6706,383.626,47.953
B3_v2,RoBERTa,eval,5,0.9478,0.947818460028851,0.9478444103806413,0.9478,0.3272310197353363,62500,51.3597,389.41,48.676
