Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
C2_v2,DistilBERT,train,1,0.90727,0.9071758009280784,0.9078382334555336,0.90727,0.2899806499481201,12500,149.4482,669.128,83.641
C2_v2,DistilBERT,eval,1,0.9062,0.906087260628486,0.9067942290705184,0.9062,0.2992389500141144,12500,29.5014,677.933,84.742
C2_v2,DistilBERT,train,2,0.91305,0.9128862224813235,0.9141093365951642,0.9130499999999999,0.26828858256340027,25000,149.7029,667.99,83.499
C2_v2,DistilBERT,eval,2,0.91085,0.9106561368617222,0.9118973003983648,0.9108499999999999,0.27903780341148376,25000,29.8689,669.592,83.699
C2_v2,DistilBERT,train,3,0.91662,0.9164761977418774,0.9169630123866788,0.91662,0.2523271143436432,37500,150.5082,664.416,83.052
C2_v2,DistilBERT,eval,3,0.9151,0.9149258340153698,0.9154553421362074,0.9151,0.263693243265152,37500,29.4266,679.657,84.957
C2_v2,DistilBERT,train,4,0.92001,0.9199525986587197,0.9202522153038695,0.92001,0.2424565553665161,50000,150.2021,665.77,83.221
C2_v2,DistilBERT,eval,4,0.919,0.9189177530682524,0.9192271639008325,0.9189999999999999,0.25479722023010254,50000,29.4298,679.583,84.948
C2_v2,DistilBERT,train,5,0.92312,0.9230884365718912,0.9234334268231956,0.92312,0.2354649156332016,62500,149.9224,667.012,83.376
C2_v2,DistilBERT,eval,5,0.9206,0.9205456438443127,0.9208933458365547,0.9206,0.24879451096057892,62500,29.8781,669.387,83.673
C2_v2,DistilBERT,train,6,0.92524,0.9251487359000922,0.9255896396273797,0.9252400000000001,0.23273345828056335,75000,151.5696,659.763,82.47
C2_v2,DistilBERT,eval,6,0.92255,0.92242976091752,0.9228824531436655,0.92255,0.24721172451972961,75000,29.6735,674.003,84.25
C2_v2,DistilBERT,train,7,0.9269,0.9267968555259034,0.9270800431850942,0.9269000000000001,0.22977697849273682,87500,151.0775,661.912,82.739
C2_v2,DistilBERT,eval,7,0.92455,0.9244161154809636,0.9246878506227297,0.92455,0.2451561540365219,87500,29.6712,674.054,84.257
C2_v2,DistilBERT,train,8,0.92786,0.9278236102545953,0.9281183721185011,0.92786,0.22631913423538208,100000,151.1462,661.611,82.701
C2_v2,DistilBERT,eval,8,0.9257,0.9256270079367377,0.9258749391897841,0.9257,0.2425016164779663,100000,29.5456,676.921,84.615
C2_v2,DistilBERT,train,9,0.92838,0.9283092404308506,0.9285601143226774,0.92838,0.22494304180145264,112500,150.8811,662.773,82.847
C2_v2,DistilBERT,eval,9,0.92545,0.9253514702709469,0.9255901993956563,0.9254500000000001,0.24128811061382294,112500,29.854,669.926,83.741
C2_v2,DistilBERT,train,10,0.92872,0.9286639556875822,0.9289617459533902,0.92872,0.22485913336277008,125000,149.2265,670.122,83.765
C2_v2,DistilBERT,eval,10,0.92565,0.925557578314921,0.9258304031225293,0.92565,0.2413739264011383,125000,29.067,688.066,86.008
