Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
C3_v2,RoBERTa,train,1,0.91172,0.9116399916848735,0.9119405842416715,0.9117200000000001,0.28980618715286255,12500,266.8926,374.683,46.835
C3_v2,RoBERTa,eval,1,0.90995,0.9098336087931637,0.9101007816969268,0.9099499999999999,0.29713594913482666,12500,52.2965,382.435,47.804
C3_v2,RoBERTa,train,2,0.91812,0.9180073677138616,0.9188351640989652,0.9181199999999999,0.2724318504333496,25000,267.4456,373.908,46.738
C3_v2,RoBERTa,eval,2,0.9164,0.9162584209711138,0.9171712928876068,0.9163999999999999,0.2811433672904968,25000,52.7822,378.916,47.364
C3_v2,RoBERTa,train,3,0.92247,0.9223196134598177,0.9226195586717265,0.9224699999999999,0.25826403498649597,37500,267.1748,374.287,46.786
C3_v2,RoBERTa,eval,3,0.92005,0.9198615491332198,0.9201948126065034,0.92005,0.2683550715446472,37500,53.0023,377.342,47.168
C3_v2,RoBERTa,train,4,0.92472,0.924614093255282,0.9248143507444103,0.92472,0.24679356813430786,50000,267.3182,374.086,46.761
C3_v2,RoBERTa,eval,4,0.9215,0.9213615556549153,0.9215439593249182,0.9215,0.25788697600364685,50000,52.953,377.694,47.212
C3_v2,RoBERTa,train,5,0.92693,0.926799379105407,0.9270363054554338,0.92693,0.2415337860584259,62500,267.9878,373.151,46.644
C3_v2,RoBERTa,eval,5,0.92275,0.9225899808849289,0.9228257348327914,0.92275,0.2539500892162323,62500,52.7481,379.16,47.395
C3_v2,RoBERTa,train,6,0.9286,0.9284885601451647,0.9288964118745047,0.9286000000000001,0.2376130074262619,75000,267.9045,373.267,46.658
C3_v2,RoBERTa,eval,6,0.9251,0.9249844786507521,0.9254239850642576,0.9251,0.25114551186561584,75000,52.3576,381.988,47.749
C3_v2,RoBERTa,train,7,0.92995,0.9298552169473087,0.930053435138852,0.92995,0.23265445232391357,87500,267.7331,373.506,46.688
C3_v2,RoBERTa,eval,7,0.9261,0.9259843162788303,0.9261708784082825,0.9261,0.24734733998775482,87500,52.3946,381.718,47.715
C3_v2,RoBERTa,train,8,0.93109,0.9310253633139566,0.9311881019436365,0.93109,0.23120473325252533,100000,267.4007,373.971,46.746
C3_v2,RoBERTa,eval,8,0.9279,0.9278175604458236,0.9280115506651911,0.9279,0.2466576099395752,100000,53.0957,376.678,47.085
C3_v2,RoBERTa,train,9,0.93185,0.9317767901111318,0.9319787911198585,0.93185,0.22979573905467987,112500,268.8396,371.969,46.496
C3_v2,RoBERTa,eval,9,0.9283,0.9282024693200148,0.9284272105601378,0.9283000000000001,0.2454889714717865,112500,52.663,379.773,47.472
C3_v2,RoBERTa,train,10,0.93189,0.9318354040953312,0.9320564486672541,0.9318900000000001,0.22977478802204132,125000,267.9217,373.243,46.655
C3_v2,RoBERTa,eval,10,0.92875,0.9286740178680708,0.928924147504306,0.92875,0.2456347942352295,125000,52.6219,380.07,47.509
