Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
D1_v2,BERT,train,1,0.88606,0.8854066123585413,0.8858907170441281,0.8860600000000001,0.3602839708328247,12500,274.9872,363.653,45.457
D1_v2,BERT,eval,1,0.8841,0.8834010585812796,0.8840613886000475,0.8840999999999999,0.36896538734436035,12500,54.1262,369.507,46.188
D1_v2,BERT,train,2,0.90212,0.9017472646626181,0.9021578267519916,0.90212,0.3311662971973419,25000,276.7225,361.373,45.172
D1_v2,BERT,eval,2,0.89905,0.8986772735910576,0.8992955987375131,0.8990499999999999,0.3447326421737671,25000,53.9281,370.864,46.358
D1_v2,BERT,train,3,0.90724,0.9068366152136593,0.9070103184499559,0.9072399999999999,0.31695055961608887,37500,274.0358,364.916,45.614
D1_v2,BERT,eval,3,0.90555,0.9051311452517439,0.9054489243474412,0.9055500000000001,0.331009179353714,37500,54.0243,370.204,46.275
D1_v2,BERT,train,4,0.91122,0.9109235324762558,0.9109963475553728,0.91122,0.30237245559692383,50000,274.4796,364.326,45.541
D1_v2,BERT,eval,4,0.9109,0.9106119314429839,0.9107317267907985,0.9109,0.31695225834846497,50000,53.8958,371.086,46.386
D1_v2,BERT,train,5,0.91401,0.9137715216500242,0.9138777399329616,0.91401,0.2912375032901764,62500,271.8805,367.809,45.976
D1_v2,BERT,eval,5,0.91355,0.9133174886199863,0.913460338826027,0.91355,0.30582958459854126,62500,53.1199,376.507,47.063
D1_v2,BERT,train,6,0.91604,0.9158221956361802,0.9159911383420934,0.9160400000000001,0.2875976860523224,75000,272.5158,366.951,45.869
D1_v2,BERT,eval,6,0.91585,0.9156167664003894,0.915842691101139,0.9158499999999999,0.30224260687828064,75000,53.0648,376.898,47.112
D1_v2,BERT,train,7,0.91698,0.9167677337202258,0.9167793047807441,0.91698,0.28328442573547363,87500,272.5405,366.918,45.865
D1_v2,BERT,eval,7,0.91685,0.9166316331953932,0.9166903834217078,0.91685,0.2982948124408722,87500,52.9209,377.922,47.24
D1_v2,BERT,train,8,0.91779,0.9176012981679931,0.9176654524825065,0.91779,0.2800230383872986,100000,272.1929,367.386,45.923
D1_v2,BERT,eval,8,0.91805,0.9178628477396967,0.9179624752070021,0.91805,0.2953689396381378,100000,54.0227,370.214,46.277
D1_v2,BERT,train,9,0.91836,0.9181602492635061,0.9182780274098618,0.91836,0.278097003698349,112500,273.0325,366.257,45.782
D1_v2,BERT,eval,9,0.91865,0.9184478115868162,0.9186231146645567,0.91865,0.293613076210022,112500,53.8211,371.601,46.45
D1_v2,BERT,train,10,0.91871,0.9185203218883075,0.9186520205879127,0.91871,0.2770600914955139,125000,275.9388,362.399,45.3
D1_v2,BERT,eval,10,0.9193,0.9191107257791675,0.9193138352536403,0.9193,0.29276707768440247,125000,54.2358,368.76,46.095
