Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
D2_v2,DistilBERT,train,1,0.90675,0.9066536274145194,0.907356834346209,0.90675,0.29165899753570557,12500,148.3401,674.127,84.266
D2_v2,DistilBERT,eval,1,0.90645,0.9062968567567515,0.9069861651773038,0.90645,0.3003169894218445,12500,28.8858,692.382,86.548
D2_v2,DistilBERT,train,2,0.91047,0.9102802389980484,0.9114619122143501,0.91047,0.2793545424938202,25000,148.3675,674.002,84.25
D2_v2,DistilBERT,eval,2,0.9096,0.909367552463441,0.9105421288367317,0.9096,0.2887190580368042,25000,29.1732,685.561,85.695
D2_v2,DistilBERT,train,3,0.91476,0.9145612553137308,0.9152175741307541,0.91476,0.2640952467918396,37500,148.7186,672.411,84.051
D2_v2,DistilBERT,eval,3,0.91495,0.9147379923334984,0.9154296962287816,0.9149499999999999,0.27420705556869507,37500,29.533,677.209,84.651
D2_v2,DistilBERT,train,4,0.91796,0.917816497737127,0.9181771841268425,0.9179600000000001,0.25269246101379395,50000,147.9968,675.69,84.461
D2_v2,DistilBERT,eval,4,0.91715,0.9169870877283591,0.9173600808760582,0.9171500000000001,0.2646641731262207,50000,29.1879,685.216,85.652
D2_v2,DistilBERT,train,5,0.92005,0.9199005079292388,0.9204088772462045,0.92005,0.24682524800300598,62500,149.0197,671.052,83.882
D2_v2,DistilBERT,eval,5,0.9185,0.9183220405364537,0.9188559420128486,0.9185,0.2602173686027527,62500,28.8104,694.194,86.774
D2_v2,DistilBERT,train,6,0.92154,0.9213787388205426,0.9218434362029843,0.92154,0.24224838614463806,75000,149.2397,670.063,83.758
D2_v2,DistilBERT,eval,6,0.9202,0.9200460580743005,0.9205479463838984,0.9202,0.25641220808029175,75000,29.0617,688.191,86.024
D2_v2,DistilBERT,train,7,0.92221,0.9220073390620757,0.9223813197858639,0.92221,0.23922300338745117,87500,148.6077,672.912,84.114
D2_v2,DistilBERT,eval,7,0.9214,0.9212131964623784,0.9216421315375123,0.9214,0.25436922907829285,87500,29.1246,686.705,85.838
D2_v2,DistilBERT,train,8,0.9235,0.9233696190964545,0.9237107506695376,0.9235,0.23402376472949982,100000,149.4596,669.077,83.635
D2_v2,DistilBERT,eval,8,0.92155,0.9214208216691301,0.9218138567711576,0.9215499999999999,0.2497970461845398,100000,29.3216,682.091,85.261
D2_v2,DistilBERT,train,9,0.92381,0.9236458930302665,0.9239805460718973,0.9238099999999999,0.23262156546115875,112500,149.149,670.47,83.809
D2_v2,DistilBERT,eval,9,0.92185,0.9216872883300321,0.9220384979091258,0.9218500000000001,0.24847476184368134,112500,29.1002,687.279,85.91
D2_v2,DistilBERT,train,10,0.92397,0.9238213387389467,0.924180987773624,0.92397,0.2322937697172165,125000,147.9795,675.769,84.471
D2_v2,DistilBERT,eval,10,0.9215,0.9213506368975758,0.9217509022590953,0.9215,0.24822477996349335,125000,29.2094,684.712,85.589
