Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
D3_v2,RoBERTa,train,1,0.91037,0.910255722311977,0.9105765693767529,0.91037,0.2901402711868286,12500,265.3684,376.835,47.104
D3_v2,RoBERTa,eval,1,0.90895,0.9088193686198026,0.9092254150979897,0.90895,0.2979361414909363,12500,52.2209,382.988,47.874
D3_v2,RoBERTa,train,2,0.91722,0.9170757714858443,0.9178336148754983,0.91722,0.27204641699790955,25000,265.4093,376.777,47.097
D3_v2,RoBERTa,eval,2,0.91565,0.9154908181277244,0.9163203823615418,0.9156500000000001,0.2802480459213257,25000,52.137,383.604,47.951
D3_v2,RoBERTa,train,3,0.92159,0.9214409281891843,0.9217489101222962,0.92159,0.25343143939971924,37500,265.0175,377.334,47.167
D3_v2,RoBERTa,eval,3,0.92025,0.9200900473488818,0.9205321551858773,0.9202500000000001,0.2618630826473236,37500,52.1731,383.339,47.917
D3_v2,RoBERTa,train,4,0.92401,0.9239016926291199,0.924044958728925,0.92401,0.23973271250724792,50000,265.3793,376.819,47.102
D3_v2,RoBERTa,eval,4,0.9225,0.9223824848483887,0.9226009869690336,0.9225000000000001,0.24855928122997284,50000,52.1438,383.555,47.944
D3_v2,RoBERTa,train,5,0.92881,0.9287325103148913,0.9288681229915119,0.9288099999999999,0.23377898335456848,62500,265.2715,376.972,47.122
D3_v2,RoBERTa,eval,5,0.9265,0.9264019012708873,0.926627873764412,0.9265000000000001,0.2440498322248459,62500,52.1709,383.356,47.919
D3_v2,RoBERTa,train,6,0.93079,0.9307158991991288,0.9311187417715585,0.93079,0.23202906548976898,75000,264.6988,377.788,47.223
D3_v2,RoBERTa,eval,6,0.92755,0.9274513666029357,0.9279382271868802,0.9275499999999999,0.2434762716293335,75000,51.9802,384.762,48.095
D3_v2,RoBERTa,train,7,0.93134,0.9312559594686471,0.9313940587036612,0.9313400000000001,0.22810687124729156,87500,264.9189,377.474,47.184
D3_v2,RoBERTa,eval,7,0.9282,0.928086400906033,0.9282904459056948,0.9282,0.2400417923927307,87500,52.0163,384.495,48.062
D3_v2,RoBERTa,train,8,0.93173,0.9316767177846217,0.9318232779493751,0.9317300000000001,0.2260766178369522,100000,271.8376,367.867,45.983
D3_v2,RoBERTa,eval,8,0.9291,0.9290343000029162,0.929239406602115,0.9291,0.23850607872009277,100000,52.8503,378.427,47.303
D3_v2,RoBERTa,train,9,0.93228,0.9322164020931487,0.9324044769273321,0.93228,0.22568124532699585,112500,269.9362,370.458,46.307
D3_v2,RoBERTa,eval,9,0.9295,0.9294184562786079,0.9296702251347096,0.9295,0.23836076259613037,112500,52.1422,383.567,47.946
D3_v2,RoBERTa,train,10,0.93241,0.9323578099200014,0.932568565763332,0.93241,0.22555771470069885,125000,265.6575,376.425,47.053
D3_v2,RoBERTa,eval,10,0.92965,0.9295816287798105,0.9298466799237295,0.92965,0.2383630871772766,125000,52.3687,381.907,47.738
