Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
E1_v1,BERT,train,1,0.9198,0.919377083348998,0.9209813053871522,0.9198000000000001,0.2977023422718048,12500,278.8243,358.649,44.831
E1_v1,BERT,eval,1,0.9172,0.9167843132433281,0.9184603792841177,0.9171999999999999,0.3224866986274719,12500,54.0548,369.995,46.249
E1_v1,BERT,train,2,0.93239,0.9323138659278232,0.9334306408898314,0.93239,0.25187185406684875,25000,277.575,360.263,45.033
E1_v1,BERT,eval,2,0.92675,0.9266543524248296,0.927893119308492,0.92675,0.28986385464668274,25000,54.4345,367.414,45.927
E1_v1,BERT,train,3,0.94003,0.939910269713012,0.9400921109721371,0.9400299999999999,0.22914941608905792,37500,272.8338,366.523,45.815
E1_v1,BERT,eval,3,0.9312,0.9310590305913093,0.9313723304777997,0.9312,0.2777986228466034,37500,54.8853,364.396,45.55
E1_v1,BERT,train,4,0.94333,0.9432989721166853,0.9432785328341098,0.94333,0.21230453252792358,50000,273.6178,365.473,45.684
E1_v1,BERT,eval,4,0.93165,0.931608409305204,0.9316041893564162,0.93165,0.2697044312953949,50000,53.4282,374.334,46.792
E1_v1,BERT,train,5,0.94674,0.9467074342203201,0.9473539887764623,0.9467399999999999,0.20687179267406464,62500,273.3419,365.842,45.73
E1_v1,BERT,eval,5,0.93355,0.9334795952674366,0.9341966739250807,0.9335499999999999,0.27154967188835144,62500,53.8047,371.715,46.464
E1_v1,BERT,train,6,0.94957,0.9495149062924672,0.9498745217690396,0.94957,0.19673731923103333,75000,274.6824,364.057,45.507
E1_v1,BERT,eval,6,0.9356,0.9355225043944632,0.9359090213677101,0.9356,0.26741984486579895,75000,53.5936,373.179,46.647
E1_v1,BERT,train,7,0.95173,0.9516593586879092,0.9521088750503364,0.95173,0.18896396458148956,87500,273.1684,366.075,45.759
E1_v1,BERT,eval,7,0.93685,0.9367254975497966,0.9372262177021344,0.93685,0.26543939113616943,87500,53.5149,373.728,46.716
E1_v1,BERT,train,8,0.9535,0.9534791841796644,0.9537496489472208,0.9535,0.1840546876192093,100000,272.2337,367.331,45.916
E1_v1,BERT,eval,8,0.93775,0.9377027756035905,0.9380094996606223,0.93775,0.2639964818954468,100000,53.5872,373.223,46.653
E1_v1,BERT,train,9,0.95377,0.9537103058915509,0.9540023013120315,0.95377,0.18312232196331024,112500,273.6031,365.493,45.687
E1_v1,BERT,eval,9,0.93745,0.9373426757085618,0.9376397658823843,0.93745,0.26822808384895325,112500,53.8217,371.597,46.45
E1_v1,BERT,train,10,0.95453,0.9544938620363252,0.9547876249832465,0.9545300000000001,0.18060994148254395,125000,272.661,366.756,45.844
E1_v1,BERT,eval,10,0.93675,0.9366740069127195,0.9369707734786015,0.9367500000000001,0.2666267454624176,125000,53.8706,371.26,46.408
