Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
E2_v1,DistilBERT,train,1,0.92655,0.9264005285815692,0.9272822493091237,0.9265500000000001,0.2361629456281662,12500,145.3832,687.837,85.98
E2_v1,DistilBERT,eval,1,0.9234,0.9232118467553927,0.9241471453839821,0.9234,0.25269371271133423,12500,28.8941,692.184,86.523
E2_v1,DistilBERT,train,2,0.93542,0.9354443027510089,0.9364305009971017,0.93542,0.21729500591754913,25000,146.6374,681.954,85.244
E2_v1,DistilBERT,eval,2,0.93035,0.9303432183345735,0.9311784951843911,0.93035,0.24530167877674103,25000,28.7085,696.657,87.082
E2_v1,DistilBERT,train,3,0.94063,0.9404914793412821,0.9410082365107038,0.94063,0.19905050098896027,37500,146.4626,682.768,85.346
E2_v1,DistilBERT,eval,3,0.93315,0.9329794764738832,0.9334623658752466,0.93315,0.2350565493106842,37500,28.7674,695.23,86.904
E2_v1,DistilBERT,train,4,0.94469,0.9447277274157678,0.9448074260759509,0.94469,0.19110354781150818,50000,144.1796,693.579,86.697
E2_v1,DistilBERT,eval,4,0.93515,0.935165046846804,0.9352241430622621,0.93515,0.23547455668449402,50000,28.8773,692.585,86.573
E2_v1,DistilBERT,train,5,0.94814,0.9481834382989069,0.9485366186872233,0.94814,0.1750560700893402,62500,145.0022,689.645,86.206
E2_v1,DistilBERT,eval,5,0.93635,0.9363731236248104,0.9367375181782825,0.93635,0.2247793972492218,62500,28.8296,693.732,86.716
E2_v1,DistilBERT,train,6,0.95057,0.9505444483609125,0.950685062354556,0.95057,0.16992439329624176,75000,147.1967,679.363,84.92
E2_v1,DistilBERT,eval,6,0.93735,0.9372957248293221,0.937416131691112,0.93735,0.22692543268203735,75000,28.9735,690.287,86.286
E2_v1,DistilBERT,train,7,0.95223,0.9521767968935351,0.9525208138367638,0.95223,0.16308024525642395,87500,146.7272,681.537,85.192
E2_v1,DistilBERT,eval,7,0.9388,0.9386896211638512,0.9390469087413851,0.9388,0.22598473727703094,87500,28.9469,690.921,86.365
E2_v1,DistilBERT,train,8,0.95351,0.9535213236103649,0.9538101360242077,0.95351,0.1616917997598648,100000,146.2573,683.727,85.466
E2_v1,DistilBERT,eval,8,0.9391,0.9390734659853328,0.9393598073106615,0.9391,0.2291586697101593,100000,28.743,695.821,86.978
E2_v1,DistilBERT,train,9,0.95449,0.9544646965719866,0.954660373400085,0.9544900000000001,0.16147547960281372,112500,145.3079,688.194,86.024
E2_v1,DistilBERT,eval,9,0.9398,0.9397283602685027,0.9399185116027853,0.9398,0.2338537573814392,112500,28.4245,703.618,87.952
E2_v1,DistilBERT,train,10,0.95514,0.9551359522455287,0.9553506487986512,0.9551400000000001,0.15987372398376465,125000,147.3106,678.838,84.855
E2_v1,DistilBERT,eval,10,0.94,0.9399618873866906,0.9401726587320411,0.94,0.23247411847114563,125000,28.7581,695.455,86.932
