Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
E3_v1,RoBERTa,train,1,0.93086,0.930757341324896,0.9310007408378489,0.9308599999999999,0.23326285183429718,12500,265.9129,376.063,47.008
E3_v1,RoBERTa,eval,1,0.9287,0.928592516919496,0.9288954096139492,0.9287,0.24552536010742188,12500,52.3712,381.889,47.736
E3_v1,RoBERTa,train,2,0.93668,0.9366720218556515,0.9376496513456575,0.9366800000000001,0.225797638297081,25000,265.5945,376.514,47.064
E3_v1,RoBERTa,eval,2,0.9321,0.9320698660453282,0.9330867720435403,0.9320999999999999,0.2480168640613556,25000,52.2758,382.586,47.823
E3_v1,RoBERTa,train,3,0.94161,0.9415286529993099,0.9415525340836817,0.94161,0.2081500142812729,37500,265.773,376.261,47.033
E3_v1,RoBERTa,eval,3,0.9362,0.9360941887681877,0.9361130986577364,0.9362,0.2380208969116211,37500,52.2915,382.471,47.809
E3_v1,RoBERTa,train,4,0.94462,0.9446085632881156,0.9446385651457936,0.94462,0.19623765349388123,50000,265.3671,376.836,47.105
E3_v1,RoBERTa,eval,4,0.93795,0.9378894964488045,0.9378732520238169,0.93795,0.23377566039562225,50000,52.2426,382.829,47.854
E3_v1,RoBERTa,train,5,0.94753,0.9475465660694532,0.9479634199672707,0.94753,0.19027382135391235,62500,265.5287,376.607,47.076
E3_v1,RoBERTa,eval,5,0.94005,0.9400346946702455,0.9404533353430575,0.94005,0.23374541103839874,62500,52.0708,384.093,48.012
E3_v1,RoBERTa,train,6,0.94915,0.9491474191683862,0.9493869962201973,0.94915,0.1838696449995041,75000,265.9451,376.017,47.002
E3_v1,RoBERTa,eval,6,0.9412,0.9411579065068745,0.9413661139427767,0.9412,0.23149912059307098,75000,52.3592,381.977,47.747
E3_v1,RoBERTa,train,7,0.95103,0.9510176136393882,0.9511217187798297,0.9510299999999999,0.17561419308185577,87500,266.21,375.643,46.955
E3_v1,RoBERTa,eval,7,0.9416,0.941541314201217,0.9416233942852178,0.9416,0.22681064903736115,87500,52.5598,380.519,47.565
E3_v1,RoBERTa,train,8,0.95175,0.9517592363026398,0.9520106166079041,0.95175,0.17481543123722076,100000,265.7074,376.354,47.044
E3_v1,RoBERTa,eval,8,0.9419,0.941877682115127,0.9421141183971147,0.9419,0.22819985449314117,100000,52.4745,381.137,47.642
E3_v1,RoBERTa,train,9,0.95277,0.952751483088884,0.9529563622281167,0.95277,0.17365218698978424,112500,266.0174,375.915,46.989
E3_v1,RoBERTa,eval,9,0.9416,0.9415310247253517,0.9417115653765187,0.9416,0.23114193975925446,112500,52.5962,380.256,47.532
E3_v1,RoBERTa,train,10,0.9533,0.9533101491932888,0.9535011346607247,0.9533,0.17288634181022644,125000,266.7191,374.926,46.866
E3_v1,RoBERTa,eval,10,0.94195,0.9419189034847973,0.942072706495394,0.94195,0.23063716292381287,125000,52.5183,380.82,47.602
