Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
F1_v1,BERT,train,1,0.92257,0.9223336598201202,0.9227858056980727,0.92257,0.2700812816619873,12500,272.934,366.389,45.799
F1_v1,BERT,eval,1,0.91985,0.9196067829328309,0.9201297193695147,0.91985,0.2882879376411438,12500,53.9402,370.781,46.348
F1_v1,BERT,train,2,0.93231,0.932330807754685,0.9336359925450592,0.9323100000000001,0.24788084626197815,25000,272.4502,367.04,45.88
F1_v1,BERT,eval,2,0.9259,0.9259107523293385,0.9273701024442733,0.9259000000000001,0.27604368329048157,25000,54.3564,367.942,45.993
F1_v1,BERT,train,3,0.94015,0.9400458551867267,0.9403106285057782,0.94015,0.22138212621212006,37500,272.872,366.472,45.809
F1_v1,BERT,eval,3,0.93275,0.9325942139069079,0.9329551244602128,0.93275,0.2602974474430084,37500,53.9945,370.408,46.301
F1_v1,BERT,train,4,0.94463,0.9446253884748769,0.9446793827112612,0.94463,0.20775705575942993,50000,273.6823,365.387,45.673
F1_v1,BERT,eval,4,0.93415,0.9341193239376897,0.9341531792644364,0.93415,0.25588974356651306,50000,53.7128,372.351,46.544
F1_v1,BERT,train,5,0.94766,0.9476788022175794,0.9480266284751508,0.94766,0.1938348263502121,62500,273.9859,364.982,45.623
F1_v1,BERT,eval,5,0.9367,0.9367067166057311,0.9372018439469343,0.9367,0.2492123544216156,62500,53.7239,372.274,46.534
F1_v1,BERT,train,6,0.95022,0.9501834471978818,0.9503545806076945,0.9502200000000001,0.19358521699905396,75000,273.1015,366.164,45.771
F1_v1,BERT,eval,6,0.9369,0.9368290368046668,0.9370403914667045,0.9369000000000001,0.25943395495414734,75000,53.8566,371.357,46.42
F1_v1,BERT,train,7,0.95228,0.9522593555800536,0.9523953002629235,0.95228,0.1804277002811432,87500,273.7116,365.348,45.669
F1_v1,BERT,eval,7,0.9383,0.9382545733891101,0.9384039569325436,0.9383,0.24822817742824554,87500,53.6299,372.927,46.616
F1_v1,BERT,train,8,0.95346,0.9534816414878788,0.9535869595688284,0.95346,0.17997406423091888,100000,273.6219,365.468,45.683
F1_v1,BERT,eval,8,0.93865,0.9386770482824455,0.9388406373068745,0.93865,0.25238892436027527,100000,53.4847,373.939,46.742
F1_v1,BERT,train,9,0.95454,0.9545185709007459,0.9546121591598753,0.9545399999999999,0.1773480623960495,112500,273.7941,365.238,45.655
F1_v1,BERT,eval,9,0.93855,0.9385042920108296,0.9386432122346243,0.93855,0.2544107139110565,112500,54.1145,369.587,46.198
F1_v1,BERT,train,10,0.95486,0.9548572735709095,0.9549804703853378,0.95486,0.17485778033733368,125000,273.4537,365.693,45.712
F1_v1,BERT,eval,10,0.9396,0.9395773028878704,0.9397636853472866,0.9395999999999999,0.2521533668041229,125000,54.0937,369.729,46.216
