Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
F2_v1,DistilBERT,train,1,0.92445,0.9242884934360598,0.9249209111273003,0.92445,0.23663361370563507,12500,144.0535,694.186,86.773
F2_v1,DistilBERT,eval,1,0.92145,0.921263193556053,0.9218614130388936,0.92145,0.25282907485961914,12500,28.6478,698.133,87.267
F2_v1,DistilBERT,train,2,0.93365,0.9336586956954077,0.9353992802233438,0.93365,0.22214490175247192,25000,144.4874,692.102,86.513
F2_v1,DistilBERT,eval,2,0.9279,0.9278771470095666,0.9297029314230333,0.9279,0.2477380335330963,25000,28.9924,689.836,86.229
F2_v1,DistilBERT,train,3,0.94138,0.9413033555670817,0.9416166337866193,0.94138,0.19859232008457184,37500,149.8895,667.158,83.395
F2_v1,DistilBERT,eval,3,0.9338,0.9337102305060622,0.934014455650895,0.9338,0.2344994693994522,37500,28.5933,699.463,87.433
F2_v1,DistilBERT,train,4,0.94469,0.9446999363126443,0.9447500489804532,0.9446899999999999,0.1876104176044464,50000,143.9853,694.515,86.814
F2_v1,DistilBERT,eval,4,0.9365,0.936490960124789,0.9365139886873171,0.9365,0.22984127700328827,50000,28.5316,700.976,87.622
F2_v1,DistilBERT,train,5,0.94819,0.9482090671552317,0.9486306591195325,0.94819,0.1734790951013565,62500,143.8494,695.171,86.896
F2_v1,DistilBERT,eval,5,0.9365,0.9365096878124568,0.9369761938713824,0.9365,0.22210027277469635,62500,28.4518,702.943,87.868
F2_v1,DistilBERT,train,6,0.95089,0.9508712759354395,0.9509483513532532,0.95089,0.16957636177539825,75000,143.9429,694.72,86.84
F2_v1,DistilBERT,eval,6,0.9392,0.9391633253460165,0.9392078550001278,0.9392,0.22355830669403076,75000,28.6119,699.009,87.376
F2_v1,DistilBERT,train,7,0.95221,0.9521840051437541,0.9524903224297813,0.95221,0.16059602797031403,87500,144.2445,693.267,86.658
F2_v1,DistilBERT,eval,7,0.9398,0.9397678216049593,0.9401315683288793,0.9398,0.216750368475914,87500,28.8594,693.015,86.627
F2_v1,DistilBERT,train,8,0.95393,0.9539487370286119,0.9541822838559497,0.9539300000000001,0.1587858498096466,100000,144.721,690.985,86.373
F2_v1,DistilBERT,eval,8,0.9403,0.9403272915323506,0.9405781454591737,0.9403,0.21943913400173187,100000,28.8546,693.131,86.641
F2_v1,DistilBERT,train,9,0.95419,0.9541556192309287,0.954347372302401,0.95419,0.15780450403690338,112500,145.7758,685.985,85.748
F2_v1,DistilBERT,eval,9,0.94075,0.9407000104058509,0.940880732762743,0.94075,0.22289541363716125,112500,28.5346,700.903,87.613
F2_v1,DistilBERT,train,10,0.9548,0.9547880971067244,0.9550140425106494,0.9548,0.15746408700942993,125000,143.5822,696.465,87.058
F2_v1,DistilBERT,eval,10,0.94115,0.9411335067307579,0.9413785408389359,0.94115,0.22366054356098175,125000,28.4853,702.116,87.765
