Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
F3_v1,RoBERTa,train,1,0.93139,0.9312980672314128,0.9323577268298702,0.9313899999999999,0.23253688216209412,12500,268.1552,372.918,46.615
F3_v1,RoBERTa,eval,1,0.92975,0.9296241111922506,0.9306689800877865,0.92975,0.24730508029460907,12500,52.6596,379.798,47.475
F3_v1,RoBERTa,train,2,0.93773,0.9377431951360686,0.9389675020936603,0.9377300000000001,0.2210717797279358,25000,268.4853,372.46,46.557
F3_v1,RoBERTa,eval,2,0.93325,0.9332525310781995,0.934378383734939,0.9332499999999999,0.24437321722507477,25000,52.8836,378.189,47.274
F3_v1,RoBERTa,train,3,0.94347,0.9433631027760011,0.9437596931673289,0.94347,0.2008461207151413,37500,270.1157,370.212,46.276
F3_v1,RoBERTa,eval,3,0.9366,0.9364583707921432,0.9368640782715322,0.9366000000000001,0.23379309475421906,37500,51.8528,385.707,48.213
F3_v1,RoBERTa,train,4,0.94779,0.9477885363705978,0.9478364475532924,0.94779,0.18380559980869293,50000,266.7549,374.876,46.859
F3_v1,RoBERTa,eval,4,0.9405,0.9404851957894957,0.9405188573976384,0.9405000000000001,0.22195224463939667,50000,52.1225,383.711,47.964
F3_v1,RoBERTa,train,5,0.95026,0.9502534501125126,0.9506296676025286,0.9502600000000001,0.18229994177818298,62500,268.4827,372.463,46.558
F3_v1,RoBERTa,eval,5,0.9407,0.9406956854909881,0.9410600335737123,0.9407000000000001,0.22955197095870972,62500,52.0459,384.276,48.034
F3_v1,RoBERTa,train,6,0.95238,0.9523878529640327,0.9526187339496794,0.95238,0.17231807112693787,75000,279.5659,357.697,44.712
F3_v1,RoBERTa,eval,6,0.94175,0.9417443548458587,0.9419710169139472,0.9417500000000001,0.224745973944664,75000,52.4455,381.348,47.669
F3_v1,RoBERTa,train,7,0.95346,0.9534353549875341,0.9536593044362509,0.95346,0.16529610753059387,87500,275.4044,363.102,45.388
F3_v1,RoBERTa,eval,7,0.94185,0.9417968870515492,0.9419998590166653,0.9418500000000001,0.221067875623703,87500,52.9735,377.548,47.193
F3_v1,RoBERTa,train,8,0.95443,0.9544341018110194,0.9546978975187012,0.95443,0.16386988759040833,100000,273.4961,365.636,45.704
F3_v1,RoBERTa,eval,8,0.94245,0.9424385308229583,0.9426958906842215,0.94245,0.22155646979808807,100000,54.0352,370.129,46.266
F3_v1,RoBERTa,train,9,0.95493,0.954928466806249,0.9551133166357239,0.95493,0.16270923614501953,112500,268.4233,372.546,46.568
F3_v1,RoBERTa,eval,9,0.9433,0.9432769821716142,0.9434151108586613,0.9433,0.22379335761070251,112500,52.7402,379.218,47.402
F3_v1,RoBERTa,train,10,0.95538,0.9553996064606634,0.9555949055880888,0.95538,0.16278401017189026,125000,270.0108,370.355,46.294
F3_v1,RoBERTa,eval,10,0.94305,0.9430659294550782,0.9432312610967144,0.9430499999999999,0.22493714094161987,125000,52.6437,379.912,47.489
